	GVHD_Control_TP1	GVHD_Control_TP1.1	GVHD_Antibiotics_TP1	GVHD_Antibiotics_TP1.1	GVHD_Antibiotics_TP1.2	GVHD_Antibiotics_TP1.3	GVHD_Antibiotics_TP1.4	GVHD_Antibiotics_TP1.5	GVHD_Antibiotics_TP1.6	BM_Antibiotics_TP1	BM_Antibiotics_TP1.1	BM_Antibiotics_TP1.2	BM_Control_TP1	BM_Control_TP1.1	BM_Control_TP1.2	GVHD_Control_TP2	GVHD_Control_TP2.1	GVHD_Control_TP2.2	GVHD_Control_TP2.3	GVHD_Antibiotics_TP2	GVHD_Antibiotics_TP2.1	GVHD_Antibiotics_TP2.2	GVHD_Antibiotics_TP2.3	GVHD_Antibiotics_TP2.4	BM_Antibiotics_TP2	BM_Antibiotics_TP2.1	BM_Antibiotics_TP2.2	BM_Control_TP2	BM_Control_TP2.1	GVHD_Control_TP3	GVHD_Control_TP3.1	GVHD_Antibiotics_TP3	GVHD_Antibiotics_TP3.1	GVHD_Antibiotics_TP3.2	GVHD_Antibiotics_TP3.3	GVHD_Antibiotics_TP3.4	GVHD_Antibiotics_TP3.5	GVHD_Antibiotics_TP3.6	BM_Antibiotics_TP3	BM_Antibiotics_TP3.1	BM_Antibiotics_TP3.2	BM_Control_TP3	BM_Control_TP3.1	Steady_state_TP2	Steady_state_TP2.1	Steady_state_TP3	GVHD_Control_TP4	GVHD_Control_TP4.1	GVHD_Antibiotics_TP4	GVHD_Antibiotics_TP4.1	GVHD_Antibiotics_TP4.2	GVHD_Antibiotics_TP4.3	GVHD_Antibiotics_TP4.4	GVHD_Antibiotics_TP4.5	BM_Antibiotics_TP4	BM_Antibiotics_TP4.1	BM_Antibiotics_TP4.2	BM_Control_TP4
zOTU_1389	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183049606443346	0.00913659205116491	0	0	0	0.012134449702706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108932461873638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0161733786187935
zOTU_139	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183049606443346	0.0365463682046597	0	0.0680007771517389	0.0243072435585805	0.0364033491081179	0	0	0	0	0	0	0	0	0	0.0998502246630055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0452898550724638	0	0	0	0.375782881002088	0	0	0	0	0	0	0	0	0	0.0323467572375869
zOTU_1390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166417041105009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161733786187935
zOTU_1393	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183049606443346	0	0	0.0097143967359627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1394	0	0	0	0	0	0	0	0	0	0	0	0	0.0217533173809006	0.0366099212886692	0.0822293284604842	0	0.0291431902078881	0.0972289742343218	0.0849411479189419	0	0	0	0	0	0	0	0	0.0391236306729265	0.133133632884007	0	0.0823120541430401	0	0	0	0	0	0	0	0	0	0	0.0267022696929239	0.0108932461873638	0.0301932367149758	0.0349895031490553	0.0975419430355053	0.0328515111695138	0.0417536534446764	0	0	0	0	0	0	0	0	0	0.145560407569141
zOTU_1395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1396	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183049606443346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0349895031490553	0.0585251658213032	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_140	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0549148819330038	0.246687985381453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0544662309368192	0.196256038647343	0.0874737578726382	0.0780335544284042	0	0	0	0	0	0	0	0	0	0	0	0.145560407569141
zOTU_1407	0	0	0	0	0	0	0	0	0	0	0	0	0.0217533173809006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0182915675873422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0492772667542707	0	0	0	0	0	0	0	0	0	0	0
