zOTUId	GVHD_Control_TP1	GVHD_Control_TP1.1	GVHD_Antibiotics_TP1	GVHD_Antibiotics_TP1.1	GVHD_Antibiotics_TP1.2	GVHD_Antibiotics_TP1.3	GVHD_Antibiotics_TP1.4	GVHD_Antibiotics_TP1.5	GVHD_Antibiotics_TP1.6	BM_Antibiotics_TP1	BM_Antibiotics_TP1.1	BM_Antibiotics_TP1.2	BM_Control_TP1	BM_Control_TP1.1	BM_Control_TP1.2	GVHD_Control_TP2	GVHD_Control_TP2.1	GVHD_Control_TP2.2	GVHD_Control_TP2.3	GVHD_Antibiotics_TP2	GVHD_Antibiotics_TP2.1	GVHD_Antibiotics_TP2.2	GVHD_Antibiotics_TP2.3	GVHD_Antibiotics_TP2.4	BM_Antibiotics_TP2	BM_Antibiotics_TP2.1	BM_Antibiotics_TP2.2	BM_Control_TP2	BM_Control_TP2.1	GVHD_Control_TP3	GVHD_Control_TP3.1	GVHD_Antibiotics_TP3	GVHD_Antibiotics_TP3.1	GVHD_Antibiotics_TP3.2	GVHD_Antibiotics_TP3.3	GVHD_Antibiotics_TP3.4	GVHD_Antibiotics_TP3.5	GVHD_Antibiotics_TP3.6	BM_Antibiotics_TP3	BM_Antibiotics_TP3.1	BM_Antibiotics_TP3.2	BM_Control_TP3	BM_Control_TP3.1	Steady_state_TP2	Steady_state_TP2.1	Steady_state_TP3	GVHD_Control_TP4	GVHD_Control_TP4.1	GVHD_Antibiotics_TP4	GVHD_Antibiotics_TP4.1	GVHD_Antibiotics_TP4.2	GVHD_Antibiotics_TP4.3	GVHD_Antibiotics_TP4.4	GVHD_Antibiotics_TP4.5	BM_Antibiotics_TP4	BM_Antibiotics_TP4.1	BM_Antibiotics_TP4.2	BM_Control_TP4	taxonomy
zOTU_164	0	0	0	0	0	0	0	0	0	0	0	0	32	10	18	2	0	10	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacillota;Clostridia;Eubacteriales;unclassified_Eubacteriales;unidentified;unidentified
zOTU_165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	8	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	2	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;unclassified_Bacteroidales;unidentified;unidentified
zOTU_166	3	10	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Turicimonas;Turicimonas muris
zOTU_167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;unclassified_Bacteroidales;unidentified;unidentified
zOTU_168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;unclassified_Bacteroidales;unidentified;unidentified
zOTU_170	25	0	0	0	0	0	0	0	0	0	0	0	23	25	91	5	9	16	25	0	0	0	0	0	0	0	0	22	13	3	14	0	0	0	0	0	0	0	0	0	0	6	5	15	9	5	20	18	0	0	0	0	0	0	0	0	0	6	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;unclassified_Bacteroidales;unidentified;unidentified
zOTU_172	20	0	0	0	0	0	0	0	0	0	0	0	296	88	351	17	256	246	188	0	0	0	0	0	0	0	0	185	91	152	332	0	0	0	0	0	0	0	0	0	0	39	149	116	71	85	80	31	0	0	0	0	0	0	0	0	0	134	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter rodentium
zOTU_173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;unclassified_Bacteroidales;unidentified;unidentified
zOTU_174	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	4	4	5	19	2	0	0	0	0	0	0	0	0	0	0	0	11	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;unclassified_Muribaculaceae;unidentified
zOTU_175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	1	1	0	0	0	0	0	0	0	0	0	13	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Anaerotignum;unclassified_Anaerotignum
