	Mouse_6.8	Mous_12.8	Mous_21.8	Mouse_24.8	Mouse_26.8	Mouse_27.8	Mouse_28.8	Mouse_34.8	Mouse_37.8	Mouse_49.8	Mouse_52.8	Mouse_56.8	Mouse_65.8	Mouse_66.8	Mouse_67.8	Mouse_8.8	Mouse_9.8	Mouse_15.8	Mouse_19.8	Mouse_22.8	Mouse_23.8	Mouse_25.8	Mouse_29.8	Mouse_30.8	Mouse_53.8	Mouse_54.8	Mouse_55.8	Mouse_70.8	Mouse_71.8	Mouse_1.8	Mouse_5.8	Mouse_31.8	Mouse_32.8	Mouse_33.8	Mouse_36.8	Mouse_38.8	Mouse_39.8	Mouse_40.8	Mouse_50.8	Mouse_51.8	Mouse_57.8	Mouse_63.8	Mouse_64.8	Mouse_0.8	Mouse_0.16	Mouse_0.24	Mouse_7.8	Mouse_10.8	Mouse_41.8	Mouse_42.8	Mouse_43.8	Mouse_45.8	Mouse_46.8	Mouse_47.8	Mouse_58.8	Mouse_59.8	Mouse_60.8	Mouse_62.8
zOTU_846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315253003276301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151504548635409	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_847	0	0	0	0	0	0	0	0	0	0	0	0	0.847726778333696	0	0	0	0.0841266757334369	0	0.735590340978037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51504548635409	0	0	0	0	0	0	0	0	0	0	0	0	3.50153647096879
zOTU_848	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158520959179938	0.237368661489264	0	0.168253351466874	1.15775401069519	0.105084334425434	0	0	0	0	0	0	0	0	0	0	0.155224950708012	0	0	0	0	0	0	0	0	0	0	0	0.693724966622163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_85	0	0	0	0	0	0	0	0	0	0	0	0	1.60126169240809	1.2681676734395	0.237368661489264	2.58864106691193	3.8698270837381	7.6832766164317	11.3491081179469	0	0	0	0	0	0	0	0	0	0	6.20899802832049	0.0792024876531919	0	0	0	0	0	0	0	0	0	0	1.84993324432577	0	0	0.303009097270819	4.73039406944986	0	0	0	0	0	0	0	0	0	0	0	10.6446708717451
zOTU_851	0	0	0	0	0	0	0	0	0	0	0	0	0.188383728518599	0.792604795899689	0.237368661489264	2.19038859507933	0.588886730134059	0.105250364608653	0.525421672127169	0	0	0	0	0	0	0	0	1.24230568596766	2.16175736395407	0.465674852124037	1.02963233949149	0	0	0	0	0	0	0	0	0	0	1.1562082777036	1.41503267973856	1.17663043478261	0.454513645906228	0.844713226687476	1.13797634691196	1.44634655532359	0	0.862549800796813	0.429031459004211	0	0.857850421000495	0.306440198159943	0	0	0	0.140061458838751
zOTU_852	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158520959179938	0	0	0.0841266757334369	0.105250364608653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11562082777036	0	0.130736714975845	0.151504548635409	0	0.142247043363995	0.241057759220598	0	0	0	0	0	0	0	0	0	0
zOTU_853	0	0	0	0	0	0	0	0	0	0	0	0	0.0941918642592995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.757522743177047	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_855	0	0	0	0	0	0	0	0	0	0	0	0	0.753534914074396	0	0	0	0	0.105250364608653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241057759220598	0	0	0	0	0	0	0	0	0	0
zOTU_856	0.14832576860495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79650494366521	0.168253351466874	0	0	0	0	0	0	0	0	0	0	0	0	2.32837426062018	0	0	0	0	0	0	0	0	0	0	0	0.11562082777036	0	0	0	0	0	0.120528879610299	0	0	0	0	0	0	0	0	0	0
zOTU_857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.526251823043267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
