Group,SubGroup,TimePoint,Limosilactobacillus,Enterococcus,Ligilactobacillus,Klebsiella,Lactobacillus,Cutibacterium,unclassified_Enterobacteriaceae,Staphylococcus,Corynebacterium,Aridibacter,Mammaliicoccus,NA,Noviherbaspirillum,Streptococcus,Paracoccus,Pseudomonas,Cloacibacterium,Halopseudomonas,Brevundimonas,Kocuria,Micrococcus,Faecalibaculum,Salinicoccus,Pseudoxanthomonas,Acinetobacter
GVHD,Antibiotics,4,71.93503685,0.003149474,27.69542486,0.022046318,0.110231591,0.005249123,0.003149474,0,0,0,0,0,0,0,0,0,0.001049825,0,0,0,0,0,0,0,0
GVHD,Antibiotics,4,12.21043531,0.001372345,86.3746775,0.652549816,0.025388373,0.04871823,0.131058901,0.216830433,0,0,0,0.001372345,0,0,0.009606412,0,0,0,0,0.062441675,0,0,0,0,0
GVHD,Antibiotics,4,84.63455516,0,15.15372061,0.025362798,0.002205461,0.008821843,0.005513652,0.008821843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GVHD,Antibiotics,4,66.74744472,0.034465303,32.29614312,0.522364751,0.033388262,0.03015714,0.136784172,0.008616326,0,0,0,0.002154081,0,0.03015714,0.003231122,0.012924489,0,0.028003059,0,0,0,0,0,0,0
GVHD,Control,1,1.189927292,0.079801383,95.62511084,0,0.555062954,0.127682213,0,0.033693917,0,0,2.22557191,0.014186913,0,0,0,0,0,0.001773364,0,0.003546728,0,0.001773364,0,0,0
GVHD,Control,1,1.04901357,6.818588203,75.691892,4.790097948,0.403313929,0.152981146,1.28146544,0.019867681,0.007947072,0,7.25567719,0.355631494,0,0,0,0,0,0.013907377,0,0.015894145,0,1.100669541,0,0,0
GVHD,Control,1,0.191861665,14.08968926,0.469939649,62.10974973,0.108073976,0.0085002,17.01132955,0.001214314,0.009714515,0,5.794708018,0.171218322,0,0,0,0,0.004857257,0,0,0,0,0.023071972,0,0,0
GVHD,Control,1,1.363051175,31.46443515,2.265851304,41.14579981,0.638879949,0.683939491,12.70518185,0.020920502,0.067589314,0,8.773736724,0.21081429,0,0.033794657,0.004827808,0.074026392,0.10621178,0,0.006437078,0.012874155,0,0.030576118,0,0,0.10621178
GVHD,Control,1,0.089037681,98.31540708,0.895719068,0.060545623,0,0,0.03917658,0.001780754,0,0,0.592990954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GVHD,Control,2,49.94607919,0.030811893,36.126945,0,13.12586658,0.030811893,0,0.030811893,0,0,0.09243568,0.015405947,0,0,0,0,0,0,0,0,0,0.261901094,0,0,0
GVHD,Control,2,50.05530973,0.029782165,8.436861811,0,38.95507148,0.02552757,0.004254595,0.03403676,0,0,0.059564329,0.178692988,0,0,0,0,0,0,0,0,0,1.961368278,0,0,0
GVHD,Control,2,28.39988743,0.034397573,65.18652866,0.203258388,3.446011445,0.021889365,0.021889365,0,0,0,2.007567466,0.078176303,0,0,0,0,0,0.015635261,0,0,0,0.015635261,0,0,0
GVHD,Control,2,48.88530032,0.125599964,45.30121563,0,3.310456197,0.170457094,0,0.022428565,0,0,1.718028081,0,0,0.004485713,0,0,0,0,0,0,0,0.022428565,0,0,0
GVHD,Control,3,30.41058262,0.036142836,23.94824346,0,45.07373139,0,0,0,0,0,0.007228567,0,0,0,0,0,0,0,0,0,0,0.159028481,0,0,0
GVHD,Control,3,42.5040425,0.011550012,25.47932548,0,31.65858166,0,0,0,0,0,0,0.023100023,0,0,0,0,0,0,0,0,0,0.011550012,0,0,0
GVHD,Control,4,59.3874006,0.003187302,11.97628647,0.001593651,28.4912907,0.007968254,0,0.003187302,0,0,0.023904763,0.004780953,0,0,0,0,0,0.001593651,0,0,0,0,0,0,0
GVHD,Control,4,56.03691361,0.025634453,17.70058959,0,25.13030847,0,0,0.012817226,0,0,0.303341024,0.42296847,0,0,0.025634453,0,0,0,0,0,0,0,0,0,0
Steady,State,2,58.8908191,0,6.512832279,0,33.79986234,0.006555443,0,0.006555443,0.003277721,0,0.003277721,0.278606313,0,0,0,0,0,0,0,0,0,0,0,0,0
Steady,State,2,48.17193676,0.015202189,13.29811493,0,37.30997264,0.133019155,0,0.057008209,0,0,0,0.611888112,0,0,0,0,0,0,0,0.003800547,0.007601095,0.003800547,0,0,0
Steady,State,3,84.30221523,0.070497004,4.677205065,0,10.5298121,0.001355712,0,0.001355712,0,0,0,0.13421545,0,0.001355712,0,0,0,0.004067135,0,0,0,0,0,0,0
